ward_no,canonical_name,wo_name_as_published,complaints,resolved,resolution_rate,complaints_2020,complaints_2024,spend_total,spend_per_complaint,Buildings and Facilities,Drainage,Others,Roads and Drains,Roads and Infrastructure,Streetlighting,Surveillance,Waste Management,Water and Sanitation
1,Kempegowda Ward,KempegowdWard,3053.0,2964.0,0.9708483458892893,427.0,981.0,1100753476,360548.14150016377,141714288,73258319,98567348,383872877.0,313879167,47344557,1543810.0,1185000.0,39388110
2,Chowdeswari Ward,ChowdeswarWard,1375.0,1298.0,0.944,237.0,364.0,1065386550,774826.5818181818,49708256,48924206,50944104,298001560.0,516590900,18474240,967033.0,524472.0,81251779
3,Atturu,Atturu,,,,,,3503239425,,100736155,269476476,546358720,504706612.0,1906091992,67097554,2996046.0,9999641.0,95776229
4,Yelahanka Satellite Town,YelahankSatellitTown,3712.0,3580.0,0.9644396551724138,694.0,887.0,1577078301,424859.4560883621,434110560,8234159,166079129,394861347.0,447678340,65841498,17193250.0,0.0,43080018
5,Jakkuru,Jakkuru,10040.0,9704.0,0.9665338645418327,1092.0,3765.0,1974729447,196686.1999003984,73201932,29930428,183995045,583177272.0,656923318,52800076,28221634.0,104631171.0,261848571
6,Thanisandra,Thanisandra,12124.0,11678.0,0.9632134609039921,1446.0,3533.0,1223981710,100955.2713625866,34725934,81567265,117212586,545577826.0,260805552,29647334,999008.0,11348266.0,142097939
7,Byatarayanapura,Byatarayanapura,6314.0,5922.0,0.9379157427937915,1026.0,1687.0,1169750693,185263.01757998098,84664617,95182617,177304961,448694340.0,228071452,25064637,3923915.0,36708518.0,70135636
8,Kodigehalli,Kodigehalli,5222.0,5067.0,0.9703178858674837,554.0,1957.0,816883033,156431.0672156262,44357157,104321945,240015062,140719750.0,185282725,33314250,831600.0,22825074.0,45215470
9,Vidyaranyapura,Vidyaranyapura,8457.0,8183.0,0.9676008040676363,1305.0,2380.0,692210164,81850.55740806433,60348952,41328756,17037749,319854936.0,200886393,23042825,999007.0,0.0,28711546
10,Dodda Bommasandra,DoddBommasandra,1644.0,1571.0,0.9555961070559611,239.0,594.0,497994556,302916.39659367397,2228000,22811025,190573126,169963992.0,76143996,12036769,999007.0,6389837.0,16848804
11,Kuvempu Nagar,KuvempNagar,3905.0,3768.0,0.9649167733674776,493.0,1533.0,633569558,162245.72548015366,69790435,74498015,39501908,293363443.0,105886910,19204968,3993945.0,1499745.0,25830189
12,Shettihalli,Shettihalli,5675.0,5402.0,0.9518942731277533,690.0,1729.0,990941541,174615.24951541852,20967900,61654923,39069170,260955777.0,494223405,16755763,988580.0,4328582.0,91997441
13,Mallasandra,Mallasandra,1335.0,1270.0,0.951310861423221,208.0,411.0,947473789,709718.1940074906,110184089,64612020,197742684,16616980.0,435965651,12640948,33248671.0,4996725.0,71466021
14,Bagalakunte,Bagalakunte,4739.0,4605.0,0.9717239924034606,708.0,1268.0,811664511,171273.37223042836,14548031,89626440,75891478,208945538.0,360778278,9752673,11544589.0,0.0,40577484
15,T Dasarahalli,Dasarahalli,1366.0,1295.0,0.9480234260614934,150.0,444.0,281815045,206306.76793557833,4069630,34674384,13004246,9643869.0,197218888,2696361,994920.0,3494676.0,16018071
16,Jalahalli,Jalahalli,1497.0,1360.0,0.9084836339345357,333.0,389.0,311894152,208346.12692050767,50177664,3300759,24824740,101308482.0,55330050,30196431,1038676.0,1527549.0,44189801
17,J P Park,Park,1812.0,1701.0,0.9387417218543046,358.0,488.0,1198964158,661679.9988962472,192807782,30445662,114768684,227766425.0,515586998,29964595,0.0,0.0,87624012
18,Radhakrishna Temple Ward,RadhakrishnTemplWard,3103.0,2938.0,0.9468256525942637,527.0,967.0,874593877,281854.2948759265,61773412,100625580,40849369,145544915.0,367087844,45055418,3149175.0,18534823.0,91973341
19,SanJayanagar,SanjayNagar,3339.0,3214.0,0.9625636418089248,465.0,1258.0,481965543,144344.27762803235,119368740,21615755,13778687,76527804.0,158463089,568572,9260286.0,0.0,82382610
20,Ganga Nagar,GangNagar,1577.0,1504.0,0.953709575142676,188.0,488.0,339550037,215313.91058972734,13250564,17860606,32572475,49393969.0,170028758,33350321,1926916.0,0.0,21166428
21,Hebbala,Hebbala,2699.0,2567.0,0.9510929974064468,441.0,1034.0,684575763,253640.51982215635,70259545,18174837,54958893,245254149.0,196703086,13985938,8180311.0,0.0,77059004
22,Vishwanath Nagenahalli,VishwanatNagenahalli,4767.0,4661.0,0.9777637927417663,384.0,1868.0,710774704,149103.14747220473,7777744,101350324,27593424,148976766.0,317737884,13582301,1935151.0,1447646.0,90373464
23,Nagavara,Nagavara,2268.0,2150.0,0.9479717813051146,265.0,694.0,604869814,266697.4488536155,17083127,102109602,43122065,257248257.0,144467284,25737673,999634.0,3675855.0,10426317
