ward_no,theme,complaints,resolved,spend,spend_per_complaint
1,Roads and Drains,409.0,394.0,383872877.0,938564.4914425428
2,Roads and Drains,278.0,260.0,298001560.0,1071948.0575539568
3,Roads and Drains,,,504706612.0,
4,Roads and Drains,416.0,404.0,394861347.0,949185.9302884615
5,Roads and Drains,1164.0,1104.0,583177272.0,501011.40206185565
6,Roads and Drains,1695.0,1566.0,545577826.0,321874.8235988201
7,Roads and Drains,941.0,808.0,448694340.0,476827.1413390011
8,Roads and Drains,783.0,755.0,140719750.0,179718.71008939974
9,Roads and Drains,862.0,799.0,319854936.0,371061.4106728538
10,Roads and Drains,194.0,171.0,169963992.0,876103.0515463918
11,Roads and Drains,478.0,427.0,293363443.0,613731.0523012553
12,Roads and Drains,853.0,799.0,260955777.0,305927.05392731534
13,Roads and Drains,148.0,139.0,16616980.0,112276.8918918919
14,Roads and Drains,749.0,733.0,208945538.0,278966.00534045394
15,Roads and Drains,174.0,159.0,9643869.0,55424.53448275862
16,Roads and Drains,304.0,286.0,101308482.0,333251.5855263158
17,Roads and Drains,248.0,236.0,227766425.0,918413.0040322581
18,Roads and Drains,363.0,330.0,145544915.0,400950.1790633609
19,Roads and Drains,315.0,302.0,76527804.0,242945.40952380953
20,Roads and Drains,264.0,250.0,49393969.0,187098.36742424243
21,Roads and Drains,475.0,456.0,245254149.0,516324.5242105263
22,Roads and Drains,496.0,459.0,148976766.0,300356.3830645161
23,Roads and Drains,291.0,232.0,257248257.0,884014.6288659794
24,Roads and Drains,1120.0,1014.0,176568356.0,157650.31785714286
25,Roads and Drains,2848.0,2759.0,394281113.0,138441.40203651684
26,Roads and Drains,1511.0,1382.0,353844091.0,234178.74983454664
27,Roads and Drains,947.0,888.0,114759513.0,121182.16789862725
28,Roads and Drains,166.0,150.0,175284834.0,1055932.7349397591
29,Roads and Drains,268.0,259.0,203244821.0,758376.1977611941
30,Roads and Drains,105.0,100.0,106356616.0,1012920.1523809524
31,Roads and Drains,86.0,82.0,190464352.0,2214701.7674418604
32,Roads and Drains,564.0,540.0,154888236.0,274624.5319148936
33,Roads and Drains,263.0,249.0,215478430.0,819309.6197718631
34,Roads and Drains,69.0,58.0,10589659.0,153473.3188405797
35,Roads and Drains,267.0,236.0,75896048.0,284254.86142322095
36,Roads and Drains,166.0,148.0,0.0,0.0
37,Roads and Drains,90.0,83.0,17700734.0,196674.82222222222
38,Roads and Drains,358.0,339.0,287045112.0,801801.9888268156
39,Roads and Drains,394.0,345.0,133736696.0,339433.2385786802
40,Roads and Drains,1304.0,1254.0,1007146694.0,772351.759202454
41,Roads and Drains,306.0,278.0,4876271.0,15935.52614379085
42,Roads and Drains,91.0,85.0,144863859.0,1591910.5384615385
43,Roads and Drains,237.0,225.0,465772580.0,1965285.147679325
44,Roads and Drains,116.0,102.0,68405950.0,589706.4655172414
45,Roads and Drains,338.0,329.0,100049179.0,296003.4881656805
46,Roads and Drains,178.0,159.0,54649079.0,307017.297752809
47,Roads and Drains,72.0,71.0,158451523.0,2200715.597222222
48,Roads and Drains,45.0,45.0,117683520.0,2615189.3333333335
49,Roads and Drains,139.0,125.0,19237617.0,138400.12230215827
50,Roads and Drains,544.0,472.0,44921833.0,82576.89889705883
51,Roads and Drains,331.0,270.0,351689331.0,1062505.5317220544
52,Roads and Drains,582.0,487.0,175549266.0,301631.0412371134
53,Roads and Drains,1059.0,945.0,657694669.0,621052.567516525
54,Roads and Drains,1766.0,1621.0,189550378.0,107333.16987542469
55,Roads and Drains,221.0,203.0,153410297.0,694164.2398190045
56,Roads and Drains,322.0,289.0,77908892.0,241953.0807453416
57,Roads and Drains,399.0,356.0,110920194.0,277995.4736842105
58,Roads and Drains,579.0,541.0,67276587.0,116194.45077720207
59,Roads and Drains,850.0,836.0,130707883.0,153773.98
60,Roads and Drains,420.0,408.0,60377013.0,143754.79285714286
61,Roads and Drains,158.0,153.0,146924217.0,929900.1075949367
62,Roads and Drains,129.0,123.0,230236093.0,1784775.9147286823
63,Roads and Drains,149.0,141.0,129586380.0,869707.2483221476
64,Roads and Drains,174.0,160.0,1690980.0,9718.275862068966
65,Roads and Drains,,,139877440.0,
66,Roads and Drains,230.0,228.0,6840905.0,29743.065217391304
67,Roads and Drains,308.0,287.0,16814445.0,54592.353896103894
68,Roads and Drains,159.0,131.0,41215560.0,259217.35849056602
69,Roads and Drains,400.0,392.0,403101835.0,1007754.5875
70,Roads and Drains,308.0,290.0,222133729.0,721213.4058441558
71,Roads and Drains,238.0,206.0,285369984.0,1199033.5462184874
72,Roads and Drains,854.0,817.0,1634505704.0,1913941.105386417
73,Roads and Drains,667.0,623.0,241926908.0,362709.0074962519
74,Roads and Drains,121.0,116.0,45597828.0,376841.5537190083
75,Roads and Drains,121.0,108.0,34515440.0,285251.5702479339
76,Roads and Drains,169.0,164.0,4755615.0,28139.73372781065
77,Roads and Drains,314.0,314.0,20374743.0,64887.71656050955
78,Roads and Drains,413.0,377.0,29528766.0,71498.22276029056
79,Roads and Drains,263.0,232.0,800000.0,3041.825095057034
80,Roads and Drains,705.0,652.0,110137238.0,156223.03262411346
81,Roads and Drains,929.0,830.0,213403544.0,229713.17976318623
82,Roads and Drains,548.0,510.0,298559043.0,544815.7718978102
83,Roads and Drains,714.0,574.0,75177153.0,105290.13025210085
84,Roads and Drains,1102.0,914.0,109880568.0,99710.13430127042
85,Roads and Drains,1771.0,1673.0,140026203.0,79066.17899491813
86,Roads and Drains,339.0,307.0,151452482.0,446762.4837758112
87,Roads and Drains,236.0,217.0,153868952.0,651987.0847457628
88,Roads and Drains,571.0,560.0,196101164.0,343434.6129597198
89,Roads and Drains,277.0,262.0,134079153.0,484040.2635379061
90,Roads and Drains,336.0,314.0,291975846.0,868975.7321428572
91,Roads and Drains,258.0,251.0,30798730.0,119374.92248062015
92,Roads and Drains,167.0,163.0,53890601.0,322698.20958083833
93,Roads and Drains,337.0,324.0,0.0,0.0
94,Roads and Drains,424.0,421.0,879000.0,2073.1132075471696
95,Roads and Drains,91.0,89.0,0.0,0.0
96,Roads and Drains,135.0,134.0,1636000.0,12118.518518518518
97,Roads and Drains,107.0,107.0,51205122.0,478552.5420560748
98,Roads and Drains,106.0,99.0,60086773.0,566856.3490566037
99,Roads and Drains,188.0,187.0,94930629.0,504950.15425531915
100,Roads and Drains,215.0,213.0,12600120.0,58605.20930232558
101,Roads and Drains,161.0,155.0,11794507.0,73257.80745341614
102,Roads and Drains,93.0,85.0,233830877.0,2514310.505376344
103,Roads and Drains,110.0,100.0,331390438.0,3012640.345454545
104,Roads and Drains,129.0,111.0,14895989.0,115472.78294573643
105,Roads and Drains,165.0,148.0,0.0,0.0
106,Roads and Drains,160.0,147.0,176800.0,1105.0
107,Roads and Drains,136.0,128.0,36995524.0,272025.9117647059
108,Roads and Drains,434.0,425.0,2537774.0,5847.405529953917
109,Roads and Drains,675.0,652.0,6108552.0,9049.706666666667
110,Roads and Drains,452.0,422.0,5455048.0,12068.690265486726
111,Roads and Drains,753.0,620.0,3891800.0,5168.393094289509
112,Roads and Drains,368.0,352.0,119665437.0,325177.8179347826
113,Roads and Drains,263.0,233.0,103978750.0,395356.463878327
114,Roads and Drains,122.0,119.0,4080280.0,33444.91803278688
115,Roads and Drains,254.0,237.0,28747965.0,113180.96456692913
116,Roads and Drains,42.0,35.0,25820740.0,614779.5238095238
117,Roads and Drains,313.0,291.0,157947141.0,504623.4536741214
118,Roads and Drains,249.0,211.0,0.0,0.0
119,Roads and Drains,492.0,397.0,0.0,0.0
120,Roads and Drains,260.0,257.0,9101484.0,35005.70769230769
121,Roads and Drains,106.0,88.0,4980312.0,46984.07547169811
122,Roads and Drains,97.0,96.0,19425800.0,200265.9793814433
123,Roads and Drains,209.0,207.0,0.0,0.0
124,Roads and Drains,250.0,238.0,23259550.0,93038.2
125,Roads and Drains,135.0,129.0,29734561.0,220256.00740740742
126,Roads and Drains,118.0,108.0,52378960.0,443889.4915254237
127,Roads and Drains,183.0,177.0,3847964.0,21027.12568306011
128,Roads and Drains,192.0,185.0,5633630.0,29341.822916666668
129,Roads and Drains,1150.0,1077.0,435107447.0,378354.30173913046
130,Roads and Drains,678.0,595.0,1468069515.0,2165294.2699115044
131,Roads and Drains,157.0,150.0,38492841.0,245177.33121019107
132,Roads and Drains,445.0,432.0,5022790.0,11287.168539325843
133,Roads and Drains,243.0,236.0,0.0,0.0
134,Roads and Drains,150.0,144.0,7883870.0,52559.13333333333
135,Roads and Drains,48.0,48.0,129688679.0,2701847.4791666665
136,Roads and Drains,57.0,57.0,130434159.0,2288318.5789473685
137,Roads and Drains,52.0,52.0,7933542.0,152568.11538461538
138,Roads and Drains,136.0,134.0,0.0,0.0
139,Roads and Drains,298.0,264.0,10799001.0,36238.25838926175
140,Roads and Drains,422.0,410.0,22196647.0,52598.68957345971
141,Roads and Drains,110.0,106.0,0.0,0.0
142,Roads and Drains,534.0,481.0,0.0,0.0
143,Roads and Drains,357.0,308.0,0.0,0.0
144,Roads and Drains,101.0,95.0,50459830.0,499602.27722772275
145,Roads and Drains,338.0,290.0,0.0,0.0
146,Roads and Drains,125.0,84.0,0.0,0.0
147,Roads and Drains,83.0,80.0,20685765.0,249226.0843373494
148,Roads and Drains,405.0,367.0,55363435.0,136699.83950617284
149,Roads and Drains,1514.0,1340.0,182593296.0,120603.23381770145
150,Roads and Drains,2786.0,2660.0,162795466.0,58433.40488155061
151,Roads and Drains,563.0,502.0,18956356.0,33670.259325044404
152,Roads and Drains,185.0,156.0,5890531.0,31840.70810810811
153,Roads and Drains,361.0,317.0,58079150.0,160884.07202216066
154,Roads and Drains,554.0,492.0,0.0,0.0
155,Roads and Drains,272.0,241.0,10775500.0,39615.80882352941
156,Roads and Drains,267.0,251.0,48702445.0,182406.16104868913
157,Roads and Drains,212.0,197.0,38746324.0,182765.679245283
158,Roads and Drains,280.0,250.0,4900840.0,17503.0
159,Roads and Drains,433.0,382.0,637238933.0,1471683.4480369515
160,Roads and Drains,1678.0,1501.0,41987893.0,25022.58224076281
161,Roads and Drains,357.0,341.0,85086174.0,238336.6218487395
162,Roads and Drains,412.0,352.0,9565920.0,23218.252427184467
163,Roads and Drains,257.0,237.0,0.0,0.0
