observed_name,normalised,ward_no,canonical_name,match_method,match_score,sources,ward_no_225,ward_name_225
KempegowdWard,kempegowdward,1.0,Kempegowda Ward,fuzzy,0.87,workorders_2018_2023,1,Kempegowda Ward
Kempegowda Ward,kempegowda,1.0,Kempegowda Ward,exact,1.0,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024,1,Kempegowda Ward
Chowdeshwari Ward,chowdeshwari,2.0,Chowdeswari Ward,fuzzy,0.957,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024,2,Chowdeswari Ward
Atturu,atturu,3.0,Atturu,exact,1.0,workorders_2018_2023,3,Someshwara Ward
YelahankSatellitTown,yelahanksatellittown,4.0,Yelahanka Satellite Town,fuzzy,0.909,workorders_2018_2023,4,Attur Layout
Yelahanka old Satellite Town,yelahanka old satellite town,4.0,Yelahanka Satellite Town,fuzzy,0.923,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024,4,Attur Layout
Jakkur,jakkur,5.0,Jakkuru,fuzzy,0.923,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024,6,Kogilu
Jakkuru,jakkuru,5.0,Jakkuru,exact,1.0,workorders_2018_2023,6,Kogilu
Thanisandra,thanisandra,6.0,Thanisandra,exact,1.0,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024;workorders_2018_2023,7,Thanisandra
Byatarayanapura,byatarayanapura,7.0,Byatarayanapura,exact,1.0,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024;workorders_2018_2023,8,Jakkuru
Kodigehalli,kodigehalli,8.0,Kodigehalli,exact,1.0,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024;workorders_2018_2023,9,Amrutahalli
Vidyaranyapura,vidyaranyapura,9.0,Vidyaranyapura,exact,1.0,grievances_2020;grievances_2021;grievances_2022;grievances_2023;grievances_2024;workorders_2018_2023,10,Kempapura
DoddBommasandra,doddbommasandra,10.0,Dodda Bommasandra,fuzzy,0.938,workorders_2018_2023,11,Byatarayanapura
