borough,ward
I,1
I,2
I,3
I,4
I,5
I,6
I,7
I,8
I,9
II,10
II,11
II,12
III,13
III,14
II,15
II,16
II,17
II,18
II,19
II,20
IV,21
IV,22
IV,23
IV,24
IV,25
IV,26
IV,27
IV,28
III,29
III,30
III,31
III,32
III,33
III,34
III,35
V,36
V,37
IV,38
IV,39
V,40
V,41
V,42
V,43
V,44
V,45
VI,46
VI,47
V,48
V,49
V,50
VI,51
VI,52
VI,53
VI,54
VI,55
VII,56
VII,57
VII,58
VII,59
VI,60
VI,61
VI,62
VII,63
VII,64
VII,65
VII,66
VII,67
VIII,68
VIII,69
VIII,70
IX,71
VIII,72
IX,73
IX,74
IX,75
IX,76
IX,77
IX,78
IX,79
IX,80
X,81
IX,82
VIII,83
VIII,84
VIII,85
VIII,86
VIII,87
VIII,88
X,89
VIII,90
X,91
X,92
X,93
X,94
X,95
X,96
X,97
X,98
X,99
X,100
XII,101
XII,102
XI,103
XI,104
XII,105
XII,106
XII,107
XII,108
XII,109
XI,110
XI,111
XI,112
XI,113
XI,114
XIII,115
XIII,116
XIII,117
XIII,118
XIII,119
XIII,120
XIV,121
XIII,122
XVI,123
XVI,124
XVI,125
XVI,126
XIV,127
XIV,128
XIV,129
XIV,130
XIV,131
XIV,132
XV,133
XV,134
XV,135
XV,136
XV,137
XV,138
XV,139
XV,140
XV,141
XVI,142
XVI,143
XVI,144
