ward,n,area_ha,area_median_ha,area_max_ha,n_in_use,n_municipal,borough,electors,area_km2,has_polygon,n_disused,n_per_km2,area_pct_of_ward,n_per_10k_electors,disused_share,municipal_share
1,36,7.6,0.13,0.85,30,0,I,43784,1.3729445976245473,True,6,26.221014352863747,5.535547474493458,8.222181618856203,0.16666666666666666,0.0
2,4,0.18000000000000002,0.045,0.07,4,0,I,40964,1.7215901536732456,True,0,2.3234333627347126,0.10455450132306209,0.9764671418806757,0.0,0.0
3,0,0.0,,,0,0,I,43889,1.346984474239152,True,0,0.0,0.0,0.0,,
4,1,0.5,0.5,0.5,1,0,I,33670,0.9491397088190748,True,0,1.0535856741724627,0.5267928370862314,0.297000297000297,0.0,0.0
5,0,0.0,,,0,0,I,20422,1.3572994522625677,True,0,0.0,0.0,0.0,,
6,0,0.0,,,0,0,I,32601,1.7431600682153685,True,0,0.0,0.0,0.0,,
7,0,0.0,,,0,0,I,15724,0.42120686641797,True,0,0.0,0.0,0.0,,
8,0,0.0,,,0,0,I,14516,0.36074474557464425,True,0,0.0,0.0,0.0,,
9,1,0.21,0.21,0.21,1,0,I,14685,0.2967189597662592,True,0,3.3701924568209303,0.7077404159323953,0.6809669731018045,0.0,0.0
10,0,0.0,,,0,0,II,18902,0.4384902814491712,True,0,0.0,0.0,0.0,,
11,0,0.0,,,0,0,II,15786,0.3264028754141652,True,0,0.0,0.0,0.0,,
12,0,0.0,,,0,0,II,16684,0.5258965144846596,True,0,0.0,0.0,0.0,,
13,0,0.0,,,0,0,III,25439,0.7857667601252785,True,0,0.0,0.0,0.0,,
14,8,0.8,0.10500000000000001,0.15,8,0,III,42712,1.0045740766433653,True,0,7.963574002159014,0.7963574002159014,1.8730099269526128,0.0,0.0
15,3,0.8,0.08,0.67,2,1,II,19819,0.5324703828879492,True,1,5.63411618075161,1.5024309815337629,1.5136989757303598,0.3333333333333333,0.3333333333333333
16,0,0.0,,,0,0,II,16052,0.3089246012395855,True,0,0.0,0.0,0.0,,
17,0,0.0,,,0,0,II,16323,0.3628491602312647,True,0,0.0,0.0,0.0,,
18,0,0.0,,,0,0,II,16320,0.23717453716674408,True,0,0.0,0.0,0.0,,
19,0,0.0,,,0,0,II,14710,0.24296443319092173,True,0,0.0,0.0,0.0,,
20,0,0.0,,,0,0,II,14702,0.29554414342466895,True,0,0.0,0.0,0.0,,
21,0,0.0,,,0,0,IV,16088,0.3408184199010182,True,0,0.0,0.0,0.0,,
22,0,0.0,,,0,0,IV,13217,0.34542954181947294,True,0,0.0,0.0,0.0,,
23,0,0.0,,,0,0,IV,15838,0.16436909673668726,True,0,0.0,0.0,0.0,,
24,0,0.0,,,0,0,IV,15583,0.20136085383421182,True,0,0.0,0.0,0.0,,
25,0,0.0,,,0,0,IV,23774,0.406597401587724,True,0,0.0,0.0,0.0,,
26,0,0.0,,,0,0,IV,20026,0.3525790773762656,True,0,0.0,0.0,0.0,,
27,1,0.04,0.04,0.04,0,0,IV,17588,0.42474263299246684,True,1,2.3543669090965396,0.09417467636386158,0.568569479190357,1.0,0.0
28,0,0.0,,,0,0,IV,29109,0.4252283061327566,True,0,0.0,0.0,0.0,,
29,1,0.39,0.39,0.39,1,0,III,40417,0.5634386522193513,True,0,1.7748161154032644,0.6921782850072732,0.2474206398297746,0.0,0.0
30,4,0.71,0.175,0.2,3,0,III,21954,0.5798373648333728,True,1,6.8984860973032935,1.2244812822713347,1.8219914366402479,0.25,0.0
31,9,1.05,0.1,0.32,8,0,III,31837,1.3846408245676856,True,1,6.4998805757514715,0.7583194005043383,2.826899519427082,0.1111111111111111,0.0
32,8,4.47,0.14,3.13,6,0,III,36239,1.664560183609359,True,2,4.806074348512381,2.6853940422312927,2.2075664339523717,0.25,0.0
33,24,20.21,0.09,16.26,17,0,III,35980,1.8271831435824872,True,7,13.134972312049754,11.060741267771897,6.670372429127293,0.2916666666666667,0.0
34,19,3.68,0.11,0.9,17,0,III,26722,0.7884795746248834,True,2,24.097009753282688,4.667210310109489,7.110246239053963,0.10526315789473684,0.0
35,12,1.33,0.1,0.27,12,0,III,28883,0.8308469954655837,True,0,14.443092489340389,1.6007760842352265,4.1546930720493025,0.0,0.0
36,0,0.0,,,0,0,V,18833,0.989106355040952,True,0,0.0,0.0,0.0,,
37,0,0.0,,,0,0,V,17787,0.31380338126858237,True,0,0.0,0.0,0.0,,
38,0,0.0,,,0,0,IV,26042,0.49163705402346813,True,0,0.0,0.0,0.0,,
39,0,0.0,,,0,0,IV,15419,0.20143075252328121,True,0,0.0,0.0,0.0,,
40,0,0.0,,,0,0,V,18793,0.3677313334351785,True,0,0.0,0.0,0.0,,
41,1,0.16,0.16,0.16,0,0,V,14350,0.20977391708395846,True,1,4.767036883807471,0.7627259014091953,0.6968641114982579,1.0,0.0
42,0,0.0,,,0,0,V,14083,0.3215631364582435,True,0,0.0,0.0,0.0,,
43,0,0.0,,,0,0,V,18833,0.23634840381938316,True,0,0.0,0.0,0.0,,
44,0,0.0,,,0,0,V,24279,0.5219750938869662,True,0,0.0,0.0,0.0,,
45,1,2.24,2.24,2.24,1,0,V,12067,1.5402178825323698,True,0,0.6492587908120094,1.4543396914189013,0.8287063893262617,0.0,0.0
46,1,0.82,0.82,0.82,1,1,VI,15648,1.307626002302077,True,0,0.7647446580593372,0.6270906196086564,0.6390593047034765,0.0,1.0
47,0,0.0,,,0,0,VI,15883,0.4032904648504157,True,0,0.0,0.0,0.0,,
48,0,0.0,,,0,0,V,17839,0.24560132466731505,True,0,0.0,0.0,0.0,,
49,0,0.0,,,0,0,V,11233,0.2582488111715375,True,0,0.0,0.0,0.0,,
