cluster_id,ward,area_m2,d_toilet,n_toilet,d_health,n_health,d_school,n_school,d_school_municipal,n_school_municipal,d_park,n_park,d_fire,n_fire,d_police,n_police,d_bus,n_bus,d_rail,n_rail,d_funeral,n_funeral,toilet_seats,toilet_seats_f
0,L,2938.001293104852,13.264663191228088,0,477.2928689653489,0,126.27431519954692,0,126.27431519954692,0,519.5260732008445,0,1318.2715489189097,0,1973.0524077701536,0,114.36615143748759,0,2865.2024800466,0,819.4884092106928,0,0.0,0.0
1,L,12619.196936352548,401.81143406653894,0,344.4909712289519,0,224.96742184289528,0,384.90986231141716,0,145.99081463066315,0,1999.725275850953,0,1736.6711566952624,0,9.370706433052538,0,2120.832034191976,0,688.6743190912109,0,0.0,0.0
2,L,87066.27162156464,0.0,8,221.64329008222666,0,145.9966992840981,0,252.23835369973912,0,38.08948408383471,0,685.3497687655308,0,1731.1460738102492,0,16.420690796627134,0,770.8292733928402,0,606.957352073111,0,109.0,44.0
3,L,609.1340723558869,11.911794783356799,0,368.14866554263637,0,346.4395931121858,0,397.5786130398236,0,188.7958358050704,0,801.5607270518384,0,1953.9487220218673,0,270.02051732174453,0,1023.0726235959578,0,779.3170873441113,0,0.0,0.0
4,L,210527.56117086567,0.0,23,10.34955142331329,0,0.0,8,0.0,6,9.942064815505587,0,323.8308351756406,0,1497.172252222161,0,62.678929554623494,0,1363.8051606545632,0,242.47078171914407,0,367.0,174.0
5,L,99934.07102068272,0.0,25,0.0,2,0.0,4,42.296460082671935,0,120.18588470328402,0,1490.8735052856362,0,1870.5325840146822,0,2.14279949747942,0,2162.8305794052617,0,1149.1615918392163,0,165.0,87.0
6,L,780.4691752751799,44.14994498433036,0,82.35805995399053,0,82.82965634071421,0,124.68931137028501,0,227.84684145951513,0,1687.1976125346678,0,2159.8348142729155,0,179.40073374102155,0,2288.8006729270605,0,1392.3695218694313,0,0.0,0.0
7,L,22550.31092291493,14.05657989190239,0,122.97056775560283,0,11.09015565597223,0,130.4619127348028,0,151.3927196969939,0,364.4480345161834,0,1557.8392079626385,0,91.3904383100657,0,1238.3485979342452,0,471.4268804186739,0,0.0,0.0
8,L,151328.64556450772,0.0,27,212.8621184536466,0,2.289420302752,0,66.32734969694614,0,168.59523582125846,0,887.7215252539595,0,2049.960509229709,0,10.670246991086193,0,1525.4039981558315,0,770.3259118422966,0,212.0,102.0
9,L,31652.268182711996,38.19930962284975,0,382.1863172855411,0,3.007348138076155,0,73.8559681320618,0,137.12249897172546,0,1620.220894844465,0,2125.9425992219435,0,11.65244767926196,0,1542.948873802986,0,1078.417972804281,0,0.0,0.0
10,L,42628.67961878313,0.0,18,226.09254011920362,0,82.02166798901354,0,226.15135163008983,0,264.61732375475225,0,1277.7517169949047,0,1888.4767337240735,0,19.59457542881148,0,1968.4539773169984,0,968.3370044124468,0,86.0,47.0
11,L,50773.890003858956,0.0,30,232.02133706456485,0,87.66785716087264,0,357.7817072523986,0,0.0,1,1300.7548975177592,0,1706.5583487595866,0,10.726042727302971,0,2127.0003047187943,0,926.5171709614145,0,194.0,103.0
12,L,43814.447476167916,0.0,17,383.11119861377307,0,11.087264047234894,0,261.3911942973471,0,246.21429437106548,0,992.3383422444056,0,1919.484654595721,0,83.76030024842082,0,1760.7387995493784,0,716.2920920295211,0,90.0,45.0
13,L,235856.18564764154,0.0,33,269.2138873741013,0,0.0,10,38.639712471932626,0,0.0,1,1428.1893137583036,0,1781.7656149224842,0,113.6149981941767,0,1961.1151696622499,0,916.4463080938932,0,202.0,110.0
14,L,8925.593998199465,86.21962517338679,0,460.4835809062436,0,0.0,1,210.11252832848655,0,145.0500873550861,0,1951.177017301993,0,2013.9402507448103,0,303.52668292347863,0,2135.728638099356,0,1072.057507543161,0,0.0,0.0
15,L,13288.664372935387,182.35471471778905,0,398.4705566548637,0,120.91737843891346,0,124.30891847003703,0,329.0683486893934,0,1724.2408461264279,0,1909.7532191233693,0,0.0,1,1436.6336340692576,0,853.9959688412622,0,0.0,0.0
16,L,9885.314399470506,0.0,2,632.0676742013223,0,168.80609816528607,0,282.25255243375204,0,43.7026736642357,0,1062.511556028484,0,277.95750448225766,0,280.8337236612435,0,1037.6997097095648,0,917.8494711613919,0,19.0,10.0
17,L,29693.390847940467,186.0151467370886,0,561.8257781155261,0,0.0,1,617.0248519202423,0,34.49137270507289,0,1826.2069876232792,0,1501.7548405224193,0,2.698176515012185,0,2343.099486761736,0,652.4082360159944,0,0.0,0.0
18,L,495.6102771284576,4.94466015047881,0,567.2706790135042,0,189.09975155413142,0,255.35863885207903,0,237.23114954041077,0,1025.9696742712329,0,443.4531705644281,0,266.147795792572,0,1188.7905540437555,0,778.1667800553964,0,0.0,0.0
19,L,1689.3427492994706,32.491819409497246,0,496.105378175679,0,99.86546931084811,0,99.86546931084811,0,259.4230481317016,0,955.1534471687443,0,458.451129106832,0,68.97336744991725,0,916.3068258903743,0,831.2986749447617,0,0.0,0.0
20,L,112908.14238869742,0.0,29,340.0811264883016,0,0.0,1,0.0,1,41.682921786149485,0,1148.34192928294,0,1934.0845413919453,0,7.2031654052774305,0,1280.8404925540813,0,1011.9206419100158,0,478.0,247.0
21,L,20339.35326017066,1.819864001680962,0,128.96703162731157,0,32.96015776737899,0,59.52973917088282,0,138.50115958124007,0,1412.1929325524113,0,1878.1834460968319,0,39.02163979261629,0,2486.192175834173,0,1064.7232466673652,0,0.0,0.0
22,L,27384.07018626293,0.0,15,230.9912010121458,0,81.6851335362667,0,81.6851335362667,0,48.02981192085045,0,1275.9590889694105,0,1749.2455930621736,0,5.012039310532078,0,2499.667196743521,0,905.5736105124967,0,108.0,58.0
23,L,2019.3115477412161,132.54243664591584,0,510.1029931583536,0,104.41334851859249,0,104.41334851859249,0,336.91291961084175,0,1671.282312510569,0,2045.499032602055,0,30.91458223064675,0,1405.2761624620484,0,1047.2334258901863,0,0.0,0.0
24,L,10121.654097834653,51.59357531375712,0,326.0184029166972,0,2.288328563759531,0,326.07227229237105,0,96.96122627847551,0,1042.9296858414623,0,2237.479816527936,0,315.7262238288744,0,1413.653848746236,0,1093.6460001134008,0,0.0,0.0
25,L,17823.94372325587,1.289999578867831,0,497.0062121252696,0,29.276278400457574,0,170.1725244144161,0,472.5444433916793,0,1299.3529773543066,0,1737.6486184882601,0,51.40677526898205,0,2826.365627679368,0,763.5506883358806,0,0.0,0.0
26,L,8522.335089558945,357.1962523711816,0,416.93011419067403,0,314.4548655521132,0,525.2989644106877,0,142.58449947808717,0,1971.0531576335934,0,811.2193825669865,0,29.532465652453553,0,2560.067273695201,0,944.2810766734214,0,0.0,0.0
