ward,area_km2,n_toilet,n_health,n_school,n_school_municipal,n_park,n_fire,n_police,n_bus,n_rail,n_funeral,toilet_seats,toilet_seats_f,slum_area_km2,slum_clusters,slum_area_share,population,households,census_wards,hh14_households,pct_latrine_in_premises,pct_no_latrine_in_premises,pct_public_latrine,pct_open_defecation,hh14_coverage,hh_public_latrine
A,11.209493136173197,89,11,27,13,20,4,10,263,2,0,835,353,0.199304514537141,5,0.017779975607816058,185014.0,43866.0,5.0,43866.0,58.358642228605305,41.641357771394695,37.78274973783796,3.8652760680253495,1.0,16573.781
B,2.6582191423384636,38,4,30,14,1,2,3,60,2,2,275,88,0.008696054019066254,10,0.0032713834162732885,127290.0,27140.0,4.0,27140.0,79.0295836403832,20.9704163596168,20.0576565954311,0.8706079587324983,1.0,5443.648
C,1.9130255496811173,34,18,23,9,4,0,1,75,1,5,207,65,0.0,0,0.0,166161.0,36479.0,6.0,36479.0,93.4873406617506,6.512659338249405,5.713596863949121,0.813034896789934,1.0,2084.263
D,8.302029098528491,93,5,63,23,30,1,5,234,3,7,709,417,0.11282921833292957,20,0.013590559246886787,346866.0,77556.0,6.0,77556.0,87.97049873639692,12.029501263603072,10.833525452576204,1.1589922120790137,1.0,8402.049
E,7.172454324234241,78,23,86,50,37,1,9,192,4,8,637,230,0.24513078325056262,71,0.034176694917709874,393286.0,78346.0,6.0,78346.0,74.61239884614403,25.38760115385597,23.9076213208077,1.5031143900135298,1.0,18730.665
F/N,12.853648872446568,199,17,120,71,18,3,10,312,3,8,2602,1244,1.234823940705325,73,0.09606796894478169,529034.0,119624.0,2.0,119624.0,50.49928526048284,49.50071473951716,48.0333252524577,1.4579173075636995,1.0,57459.385
F/S,9.87244321970885,128,18,63,37,3,2,8,170,3,5,1391,672,0.46996962045769447,69,0.047604185711544095,360972.0,79733.0,3.0,79733.0,71.50418521816563,28.49581478183437,27.73488016254249,0.7081221075338944,1.0,22113.852000000003
G/N,8.31539094194459,245,19,99,58,10,2,1,201,6,7,3405,1614,1.205673922236985,73,0.14499305332180004,599039.0,128138.0,3.0,128138.0,52.0424354992274,47.957564500772605,46.30604036273392,1.6515241380386771,1.0,59335.633999999984
G/S,9.741117824250079,113,23,63,52,10,1,3,215,4,7,941,530,0.39534999273921767,55,0.04058569045895446,377749.0,83457.0,4.0,83457.0,69.95191775405299,30.04808224594701,28.02239836083252,2.000629066465365,1.0,23386.652999999995
H/E,12.84152209773764,327,16,88,56,21,1,6,196,0,10,3995,1701,1.5014009523870724,102,0.11691767852438475,557239.0,120266.0,3.0,82009.0,48.15900206074944,51.84099793925056,49.51218890609568,2.280332646416857,0.6818967954367818,59546.32910980503
