ward,population,households,census_wards,hh14_households,pct_latrine_in_premises,pct_no_latrine_in_premises,pct_public_latrine,pct_open_defecation,hh14_coverage
A,185014.0,43866.0,5.0,43866.0,58.358642228605305,41.641357771394695,37.78274973783796,3.8652760680253495,1.0
B,127290.0,27140.0,4.0,27140.0,79.0295836403832,20.970416359616802,20.0576565954311,0.8706079587324983,1.0
C,166161.0,36479.0,6.0,36479.0,93.4873406617506,6.512659338249405,5.713596863949121,0.813034896789934,1.0
D,346866.0,77556.0,6.0,77556.0,87.97049873639692,12.029501263603073,10.833525452576204,1.1589922120790137,1.0
E,393286.0,78346.0,6.0,78346.0,74.61239884614403,25.38760115385597,23.9076213208077,1.5031143900135298,1.0
F/N,529034.0,119624.0,2.0,119624.0,50.49928526048284,49.50071473951716,48.0333252524577,1.4579173075636997,1.0
F/S,360972.0,79733.0,3.0,79733.0,71.50418521816563,28.49581478183437,27.73488016254249,0.7081221075338944,1.0
G/N,599039.0,128138.0,3.0,128138.0,52.0424354992274,47.957564500772605,46.306040362733924,1.6515241380386771,1.0
G/S,377749.0,83457.0,4.0,83457.0,69.95191775405299,30.04808224594701,28.022398360832522,2.000629066465365,1.0
H/E,557239.0,120266.0,3.0,82009.0,48.15900206074944,51.84099793925056,49.51218890609568,2.280332646416857,0.6818967954367818
H/W,307581.0,72943.0,9.0,72943.0,71.66004551499115,28.339954485008846,27.283566620511905,1.053962683190985,1.0
K/E,823885.0,190845.0,3.0,190845.0,56.16486834865991,43.8351316513401,43.25496764389949,0.5801640074405932,1.0
K/W,748688.0,168076.0,6.0,168076.0,70.09919024726909,29.900809752730908,27.824341964349458,2.0777338822913443,1.0
L,902225.0,186833.0,4.0,186833.0,43.877727703350054,56.122272296649946,54.560111436416484,1.5600948440585978,1.0
M/E,807720.0,166400.0,2.0,166400.0,35.81168209134616,64.18831790865384,58.97634014423077,5.211977764423077,1.0
M/W,411893.0,93607.0,2.0,93607.0,44.282411571784166,55.717588428215834,53.80008225880543,2.0037571976454753,1.0
N,622853.0,137885.0,4.0,137885.0,44.34604996917721,55.65395003082279,54.456957609602206,1.1969924212205825,1.0
P/N,941366.0,211642.0,6.0,211642.0,49.47774969051511,50.52225030948489,45.6973535498625,4.816038404475482,1.0
P/S,463507.0,106922.0,4.0,106922.0,60.12669141991358,39.873308580086416,37.21216868371336,2.5894624118516303,1.0
R/C,562162.0,134795.0,5.0,134795.0,80.85309915056196,19.146900849438037,17.571442560925853,1.5754582885121853,1.0
R/N,431368.0,104091.0,3.0,104091.0,58.396210046978126,41.603789953021874,40.084734511148895,1.548772708495451,1.0
R/S,691229.0,159639.0,2.0,159639.0,57.37346513070114,42.62653486929886,39.48582865089357,3.140706218405277,1.0
S,743783.0,169962.0,2.0,169962.0,48.164244360504114,51.835755639495886,48.893872159659225,2.9127069580259115,1.0
T,341463.0,81698.0,3.0,81698.0,73.89758500820093,26.102414991799066,25.269206100516538,0.7650615682146442,1.0
