ward,area_km2,n_toilet,n_health,n_school,n_school_municipal,n_park,n_fire,n_police,n_bus,n_rail,n_funeral,toilet_seats,toilet_seats_f,slum_area_km2,slum_clusters,slum_area_share,population,households,census_wards,hh14_households,pct_latrine_in_premises,pct_no_latrine_in_premises,pct_public_latrine,pct_open_defecation,hh14_coverage,hh_public_latrine,hh_per_seat,seats_per_km2,female_share,persons_per_seat
A,11.209493136173196,89,11,27,13,20,4,10,263,2,0,835,353,0.199304514537141,5,0.017779975607816,185014.0,43866.0,5.0,43866.0,58.358642228605305,41.641357771394695,37.78274973783796,3.8652760680253495,1.0,16573.781,19.848839520958084,74.49043322979904,0.4227544910179641,83.71661868259105
B,2.6582191423384636,38,4,30,14,1,2,3,60,2,2,275,88,0.0086960540190662,10,0.0032713834162732,127290.0,27140.0,4.0,27140.0,79.0295836403832,20.9704163596168,20.0576565954311,0.8706079587324983,1.0,5443.648,19.795083636363636,103.4527197626301,0.32,92.84142211027
C,1.9130255496811173,34,18,23,9,4,0,1,75,1,5,207,65,0.0,0,0.0,166161.0,36479.0,6.0,36479.0,93.4873406617506,6.512659338249405,5.713596863949121,0.813034896789934,1.0,2084.263,10.068903381642512,108.20555953082011,0.3140096618357488,45.86362166718116
D,8.302029098528491,93,5,63,23,30,1,5,234,3,7,709,417,0.1128292183329295,20,0.0135905592468867,346866.0,77556.0,6.0,77556.0,87.97049873639692,12.029501263603072,10.833525452576204,1.1589922120790137,1.0,8402.049,11.850562764456983,85.40080883668163,0.5881523272214386,53.00115147578698
E,7.172454324234241,78,23,86,50,37,1,9,192,4,8,637,230,0.2451307832505626,71,0.0341766949177098,393286.0,78346.0,6.0,78346.0,74.61239884614403,25.38760115385597,23.9076213208077,1.5031143900135298,1.0,18730.665,29.404497645211933,88.81199812562188,0.36106750392464676,147.6064797295946
F/N,12.853648872446568,199,17,120,71,18,3,10,312,3,8,2602,1244,1.234823940705325,73,0.0960679689447816,529034.0,119624.0,2.0,119624.0,50.49928526048284,49.50071473951716,48.0333252524577,1.4579173075636995,1.0,57459.385,22.082776710222905,202.4327897720715,0.47809377401998465,97.66050035207036
F/S,9.87244321970885,128,18,63,37,3,2,8,170,3,5,1391,672,0.4699696204576944,69,0.047604185711544,360972.0,79733.0,3.0,79733.0,71.50418521816563,28.49581478183437,27.73488016254249,0.7081221075338944,1.0,22113.852000000003,15.897808770668586,140.89723982641675,0.4831056793673616,71.97350943230258
G/N,8.31539094194459,245,19,99,58,10,2,1,201,6,7,3405,1614,1.205673922236985,73,0.1449930533218,599039.0,128138.0,3.0,128138.0,52.0424354992274,47.957564500772605,46.30604036273392,1.6515241380386771,1.0,59335.633999999984,17.426030543318646,409.48164960284186,0.47400881057268723,81.46585642540899
G/S,9.74111782425008,113,23,63,52,10,1,3,215,4,7,941,530,0.3953499927392176,55,0.0405856904589544,377749.0,83457.0,4.0,83457.0,69.95191775405299,30.04808224594701,28.02239836083252,2.000629066465365,1.0,23386.652999999995,24.852978746014873,96.60082312703602,0.563230605738576,112.49131730505975
H/E,12.84152209773764,327,16,88,56,21,1,6,196,0,10,3995,1701,1.5014009523870724,102,0.1169176785243847,557239.0,120266.0,3.0,82009.0,48.15900206074944,51.84099793925056,49.51218890609568,2.280332646416857,0.6818967954367818,59546.32910980503,14.905213794694626,311.1001927648297,0.4257822277847309,69.06163362664293
H/W,8.650373433546571,163,14,71,36,48,1,5,178,3,15,1648,815,0.4207325463737603,66,0.0486375009825748,307581.0,72943.0,9.0,72943.0,71.66004551499115,28.33995448500885,27.283566620511905,1.053962683190985,1.0,19901.452,12.076123786407768,190.5120065232069,0.4945388349514563,50.921763984852376
K/E,23.9827200276456,804,36,138,71,82,2,11,376,2,12,6357,3676,2.688526229947703,299,0.1121026400195039,823885.0,190845.0,3.0,190845.0,56.16486834865991,43.8351316513401,43.25496764389949,0.5801640074405932,1.0,82549.94299999998,12.98567610508101,265.065847104586,0.5782601856221488,56.059649232804986
K/W,24.353987833180096,225,13,116,55,59,1,6,386,1,24,2399,1304,1.453126917000938,163,0.0596668983722322,748688.0,168076.0,6.0,168076.0,70.09919024726909,29.900809752730908,27.824341964349458,2.0777338822913443,1.0,46766.041,19.49397290537724,98.50542820472221,0.5435598165902459,86.8351435456643
L,15.6254118868711,798,34,179,88,63,1,5,255,3,8,6711,3499,3.570027077836676,230,0.2284757101882422,902225.0,186833.0,4.0,186833.0,43.877727703350054,56.122272296649946,54.56011143641648,1.5600948440585978,1.0,101936.293,15.189434212486962,429.49267824669414,0.5213828043510654,73.35046422399175
M/E,38.22571335553808,446,25,136,72,73,2,8,188,2,11,7549,3445,3.0148849762183616,152,0.0788706007439772,807720.0,166400.0,2.0,166400.0,35.81168209134616,64.18831790865384,58.97634014423077,5.211977764423077,1.0,98136.63,12.99995098688568,197.48486914519052,0.45635183468009005,63.102887086101575
M/W,17.620182332876464,203,22,87,53,49,1,1,218,1,8,2847,1211,1.2162457419317607,98,0.069025718290238,411893.0,93607.0,2.0,93607.0,44.282411571784166,55.717588428215834,53.80008225880543,2.0037571976454753,1.0,50360.643,17.689021074815596,161.5760805543964,0.42536002809975415,77.83588788839532
N,30.602269690246047,497,16,121,67,38,1,4,200,2,10,5286,2578,2.022664034747581,111,0.0660952293807237,622853.0,137885.0,4.0,137885.0,44.34604996917721,55.65395003082279,54.456957609602206,1.1969924212205825,1.0,75087.97600000001,14.205065455921304,172.73228598742867,0.4877033673855467,64.16700608780471
